Ready to connect
Time result: 0.000029816 seconds.
Time result: 0.000011588 seconds.
Time result: 0.000037045 seconds.
Time result: 0.000017736 seconds.
Time result: 0.000001024 seconds.
Time result: 0.000001458 seconds.
Time result: 0.000030172 seconds.
Time result: 0.000011697 seconds.
Time result: 0.000034296 seconds.
Time result: 0.000015529 seconds.
Time result: 0.000022623 seconds.
Time result: 0.000003776 seconds.
Time result: 0.000011978 seconds.
Time result: 0.000001059 seconds.
Time result: 0.000022316 seconds.
Time result: 0.000003878 seconds.
Time result: 0.000028765 seconds.
Time result: 0.000001024 seconds.
Time result: 0.000027621 seconds.
Time result: 0.000008995 seconds.
Time result: 0.000037425 seconds.
Time result: 0.000013040 seconds.
Time result: 0.000038523 seconds.
Time result: 0.000020103 seconds.
Time result: 0.000044438 seconds.
Time result: 0.000013019 seconds.
Time result: 0.000037187 seconds.
Time result: 0.000018860 seconds.
Time result: 0.000041071 seconds.
Time result: 0.000021333 seconds.
Time result: 0.000003123 seconds.
Time result: 0.000026210 seconds.
Time result: 0.000006854 seconds.
Time result: 0.000001158 seconds.
Time result: 0.000001243 seconds.
Time result: 0.000022642 seconds.
Time result: 0.000004415 seconds.
Time result: 0.000029063 seconds.
Time result: 0.000008721 seconds.
Time result: 0.000024687 seconds.
Time result: 0.000005870 seconds.
Time result: 0.000029920 seconds.
Time result: 0.000009357 seconds.
Time result: 0.000031230 seconds.
Time result: 0.000001080 seconds.
Time result: 0.999024551 seconds.
Time result: 0.000006288 seconds.
Time result: 0.000030223 seconds.
Time result: 0.000001107 seconds.
Time result: 0.000023205 seconds.
Time result: 0.000003394 seconds.
Time result: 0.000027791 seconds.
Time result: 0.000008291 seconds.
Time result: 0.000031513 seconds.
Time result: 0.000010077 seconds.
Time result: 0.000035757 seconds.
Time result: 0.000016438 seconds.
Time result: 0.000046258 seconds.
Time result: 0.000026985 seconds.
Time result: 0.000007637 seconds.
Time result: 0.000032389 seconds.
Time result: 0.000011449 seconds.
Time result: 0.000001231 seconds.
Time result: 0.000001111 seconds.
Time result: 0.000026619 seconds.
Time result: 0.000037307 seconds.
Time result: 0.000016999 seconds.
Time result: 0.000038629 seconds.
Time result: 0.000018100 seconds.
Time result: 0.000041557 seconds.
Time result: 0.000023180 seconds.
Time result: 0.000004556 seconds.
Time result: 0.000027361 seconds.
Time result: 0.000008615 seconds.
Time result: 0.000001351 seconds.
Time result: 0.000001055 seconds.
Time result: 0.000023736 seconds.
Time result: 0.000003445 seconds.
Time result: 0.000028734 seconds.
Time result: 0.000010579 seconds.
Time result: 0.000036012 seconds.
Time result: 0.000015054 seconds.
Time result: 0.000039829 seconds.
Time result: 0.000013780 seconds.
Time result: 0.000039304 seconds.
Time result: 0.000018794 seconds.
Time result: 0.000041891 seconds.
Time result: 0.000020592 seconds.
Time result: 0.000039348 seconds.
Time result: 0.000020460 seconds.
Time result: 0.000044488 seconds.
Time result: 0.000019586 seconds.
Time result: 0.999039935 seconds.
Time result: 0.000022336 seconds.
Time result: 0.000001233 seconds.
Time result: 0.000001178 seconds.
Time result: 0.000017904 seconds.
Time result: 0.000034139 seconds.
Time result: 0.000003427 seconds.
Time result: 0.000025075 seconds.
Time result: 0.000005916 seconds.
Time result: 0.000006257 seconds.
Time result: 0.000001099 seconds.
Time result: 0.000016258 seconds.
Time result: 0.000040957 seconds.
Time result: 0.000018938 seconds.
Time result: 0.000040071 seconds.
Time result: 0.000018865 seconds.
Time result: 0.000043425 seconds.
Time result: 0.000023845 seconds.
Time result: 0.000002124 seconds.
Time result: 0.000025922 seconds.
Time result: 0.000000968 seconds.
Time result: 0.000016250 seconds.
Time result: 0.000032039 seconds.
Time result: 0.000010692 seconds.
Time result: 0.000031036 seconds.
Time result: 0.000012371 seconds.
Time result: 0.000034624 seconds.
Time result: 0.000013791 seconds.
Time result: 0.000037389 seconds.
Time result: 0.000016097 seconds.
Time result: 0.000045145 seconds.
Time result: 0.000025988 seconds.
Time result: 0.000003579 seconds.
Time result: 0.000026062 seconds.
Time result: 0.000001994 seconds.
Time result: 0.000002014 seconds.
Time result: 0.000000994 seconds.
Time result: 0.000014345 seconds.
Time result: 0.000043081 seconds.
Time result: 0.000023855 seconds.
Time result: 0.000003291 seconds.
Time result: 0.000028220 seconds.
Time result: 0.000001230 seconds.
Time result: 0.000026470 seconds.
Time result: 0.000007979 seconds.
Time result: 0.000031395 seconds.
Time result: 0.000008484 seconds.
Time result: 0.000001013 seconds.
Time result: 0.000001065 seconds.
Time result: 0.000023359 seconds.
Time result: 0.000044060 seconds.
Time result: 0.000024623 seconds.
Time result: 0.000005266 seconds.
Time result: 0.000029819 seconds.
Time result: 0.000011173 seconds.
Time result: 0.000001092 seconds.
Time result: 0.000001132 seconds.
Time result: 0.000024863 seconds.
Time result: 0.000005522 seconds.
Time result: 0.000034938 seconds.
Time result: 0.000014672 seconds.
Time result: 0.000035652 seconds.
Time result: 0.000007213 seconds.
Time result: 0.000036396 seconds.
Time result: 0.000018252 seconds.
Time result: 0.000046817 seconds.
Time result: 0.000014422 seconds.
Time result: 0.000034510 seconds.
Time result: 0.000015780 seconds.
Time result: 0.000039716 seconds.
Time result: 0.000017492 seconds.
Time result: 0.000041636 seconds.
Time result: 0.000023089 seconds.
Time result: 0.000004627 seconds.
Time result: 0.000022466 seconds.
Time result: 0.000003169 seconds.
Time result: 0.000001194 seconds.
Time result: 0.000001068 seconds.
Time result: 0.000030410 seconds.
Time result: 0.000010729 seconds.
Time result: 0.000039665 seconds.
Time result: 0.000003875 seconds.
Time result: 0.000027652 seconds.
Time result: 0.000001005 seconds.
Time result: 0.000022128 seconds.
Time result: 0.000045018 seconds.
Time result: 0.000024821 seconds.
Time result: 0.999043715 seconds.
