Ready to connect
Subscribed (mid: 1): 0
Time result: 0.000000829 seconds.
Time result: 0.000000648 seconds.
Time result: 0.000000701 seconds.
Time result: 0.000000681 seconds.
Time result: 0.000000813 seconds.
Time result: 0.000000779 seconds.
Time result: 0.000000822 seconds.
Time result: 0.000000948 seconds.
Time result: 0.000000612 seconds.
Time result: 0.000000797 seconds.
Time result: 0.000000573 seconds.
Time result: 0.000000620 seconds.
Time result: 0.000000617 seconds.
Time result: 0.000000741 seconds.
Time result: 0.000000666 seconds.
Time result: 0.000031704 seconds.
Time result: 0.000024061 seconds.
Time result: 0.000016703 seconds.
Time result: 0.000006172 seconds.
Time result: 0.000042230 seconds.
Time result: 0.000029384 seconds.
Time result: 0.000021674 seconds.
Time result: 0.000010266 seconds.
Time result: 0.000001931 seconds.
Time result: 0.000037471 seconds.
Time result: 0.000028251 seconds.
Time result: 0.000020144 seconds.
Time result: 0.000012648 seconds.
Time result: 0.000003272 seconds.
Time result: 0.000039479 seconds.
Time result: 0.000032223 seconds.
Time result: 0.000024084 seconds.
Time result: 0.000016519 seconds.
Time result: 0.000007754 seconds.
Time result: 0.000048562 seconds.
Time result: 0.000038385 seconds.
Time result: 0.000030324 seconds.
Time result: 0.000018919 seconds.
Time result: 0.000003525 seconds.
Time result: 0.000038306 seconds.
Time result: 0.000023436 seconds.
Time result: 0.000015855 seconds.
Time result: 0.000007299 seconds.
Time result: 0.000000627 seconds.
Time result: 0.000000645 seconds.
Time result: 0.000033139 seconds.
Time result: 0.000024614 seconds.
Time result: 0.000015926 seconds.
Time result: 0.000008584 seconds.
Time result: 0.999043808 seconds.
Time result: 0.000034877 seconds.
Time result: 0.000024174 seconds.
Time result: 0.000014632 seconds.
Time result: 0.000007260 seconds.
Time result: 0.000040579 seconds.
Time result: 0.000027659 seconds.
Time result: 0.000015387 seconds.
Time result: 0.000007767 seconds.
Time result: 0.000000656 seconds.
Time result: 0.000000610 seconds.
Time result: 0.000035181 seconds.
Time result: 0.000027969 seconds.
Time result: 0.000014981 seconds.
Time result: 0.000007562 seconds.
Time result: 0.000041701 seconds.
Time result: 0.000032764 seconds.
Time result: 0.000021017 seconds.
Time result: 0.000013540 seconds.
Time result: 0.000005656 seconds.
Time result: 0.000041330 seconds.
Time result: 0.000034176 seconds.
Time result: 0.000023623 seconds.
Time result: 0.000016338 seconds.
Time result: 0.000008490 seconds.
Time result: 0.000044581 seconds.
Time result: 0.000033170 seconds.
Time result: 0.000025100 seconds.
Time result: 0.000016194 seconds.
Time result: 0.000007519 seconds.
Time result: 0.000047210 seconds.
Time result: 0.000034128 seconds.
Time result: 0.000025949 seconds.
Time result: 0.000015819 seconds.
Time result: 0.000005386 seconds.
Time result: 0.000040254 seconds.
Time result: 0.000033018 seconds.
Time result: 0.000025519 seconds.
Time result: 0.000015715 seconds.
Time result: 0.000007130 seconds.
Time result: 0.000042883 seconds.
Time result: 0.000034590 seconds.
Time result: 0.000025991 seconds.
Time result: 0.000017491 seconds.
Time result: 0.000009853 seconds.
Time result: 0.000001773 seconds.
Time result: 0.000041999 seconds.
Time result: 0.000032918 seconds.
Time result: 0.000023485 seconds.
Time result: 0.000011516 seconds.
Time result: 0.000002805 seconds.
Time result: 0.000000907 seconds.
Time result: 0.000000753 seconds.
Time result: 0.000034238 seconds.
Time result: 0.000025354 seconds.
Time result: 0.000010490 seconds.
Time result: 0.000002073 seconds.
Time result: 0.000034287 seconds.
Time result: 0.000024043 seconds.
Time result: 0.000015458 seconds.
Time result: 0.000007712 seconds.
Time result: 0.000042598 seconds.
Time result: 0.000033514 seconds.
Time result: 0.000023979 seconds.
Time result: 0.000012215 seconds.
Time result: 0.000004526 seconds.
Time result: 0.000037942 seconds.
Time result: 0.000029563 seconds.
Time result: 0.000019009 seconds.
Time result: 0.000009818 seconds.
Time result: 0.000002066 seconds.
Time result: 0.000036093 seconds.
Time result: 0.000028291 seconds.
Time result: 0.000016503 seconds.
Time result: 0.000001948 seconds.
Time result: 0.000000716 seconds.
Time result: 0.000000667 seconds.
Time result: 0.000028926 seconds.
Time result: 0.000020691 seconds.
Time result: 0.000011220 seconds.
Time result: 0.000043818 seconds.
Time result: 0.000035626 seconds.
Time result: 0.000026106 seconds.
Time result: 0.000018820 seconds.
Time result: 0.000007134 seconds.
Time result: 0.000041653 seconds.
Time result: 0.000034209 seconds.
Time result: 0.000025341 seconds.
Time result: 0.000015422 seconds.
Time result: 0.000006193 seconds.
Time result: 0.000042352 seconds.
Time result: 0.000033907 seconds.
Time result: 0.000024859 seconds.
Time result: 0.000017611 seconds.
Time result: 0.000008619 seconds.
Time result: 0.000045652 seconds.
Time result: 0.000036762 seconds.
Time result: 0.000029545 seconds.
Time result: 0.000020943 seconds.
Time result: 0.000008516 seconds.
Time result: 0.000001057 seconds.
Time result: 0.000038787 seconds.
Time result: 0.000026758 seconds.
Time result: 0.000018317 seconds.
Time result: 0.000007451 seconds.
Time result: 0.000000694 seconds.
Time result: 0.000000691 seconds.
Time result: 0.999033244 seconds.
Time result: 0.000022435 seconds.
Time result: 0.000015126 seconds.
Time result: 0.000006589 seconds.
Time result: 0.000041747 seconds.
Time result: 0.000031710 seconds.
Time result: 0.000023336 seconds.
Time result: 0.000015546 seconds.
Time result: 0.000007264 seconds.
Time result: 0.000041881 seconds.
Time result: 0.000033081 seconds.
Time result: 0.000024426 seconds.
Time result: 0.000015267 seconds.
Time result: 0.000007994 seconds.
Time result: 0.000039107 seconds.
Time result: 0.000026549 seconds.
Time result: 0.000017399 seconds.
Time result: 0.000007371 seconds.
Time result: 0.000000769 seconds.
Time result: 0.000000650 seconds.
Time result: 0.000036066 seconds.
Time result: 0.000026832 seconds.
Time result: 0.000018531 seconds.
Time result: 0.000009303 seconds.
Time result: 0.000043308 seconds.
Time result: 0.000034921 seconds.
Time result: 0.000027042 seconds.
Time result: 0.000017707 seconds.
Time result: 0.000009314 seconds.
Time result: 0.000043599 seconds.
Time result: 0.000034544 seconds.
Time result: 0.000024651 seconds.
Time result: 0.000017354 seconds.
Time result: 0.000008612 seconds.
Time result: 0.000046638 seconds.
Time result: 0.000030372 seconds.
Time result: 0.000020043 seconds.
Time result: 0.000012085 seconds.
Time result: 0.000003944 seconds.
Time result: 0.000039451 seconds.
Time result: 0.000031080 seconds.
Time result: 0.000023012 seconds.
Time result: 0.000014464 seconds.
Time result: 0.000005423 seconds.
Time result: 0.000040205 seconds.
Time result: 0.000031289 seconds.
Time result: 0.000024038 seconds.
Time result: 0.000009776 seconds.
Time result: 0.000001450 seconds.
Time result: 0.000037517 seconds.
Time result: 0.000027929 seconds.
Time result: 0.000015916 seconds.
Time result: 0.000008450 seconds.
Time result: 0.000001114 seconds.
Time result: 0.000035575 seconds.
Time result: 0.000027259 seconds.
Time result: 0.000019547 seconds.
Time result: 0.000010524 seconds.
Time result: 0.000001688 seconds.
Time result: 0.000037600 seconds.
Time result: 0.000025073 seconds.
Time result: 0.000013198 seconds.
Time result: 0.000004279 seconds.
Time result: 0.000000614 seconds.
Time result: 0.000000607 seconds.
Time result: 0.000034379 seconds.
Time result: 0.000025593 seconds.
Time result: 0.000017732 seconds.
Time result: 0.000006957 seconds.
Time result: 0.000046339 seconds.
Time result: 0.000038977 seconds.
Time result: 0.000030135 seconds.
Time result: 0.000018455 seconds.
Time result: 0.000009282 seconds.
Time result: 0.000001830 seconds.
Time result: 0.000033343 seconds.
Time result: 0.000023634 seconds.
Time result: 0.000013046 seconds.
Time result: 0.000005377 seconds.
Time result: 0.000000921 seconds.
Time result: 0.000000788 seconds.
Time result: 0.000034046 seconds.
